set,size,algorithm,coins
34,2034,changegreedy,68
34,2034,changedp,68
35,2035,changegreedy,69
35,2035,changedp,69
36,2036,changegreedy,68
36,2036,changedp,68
37,2037,changegreedy,69
37,2037,changedp,69
38,2038,changegreedy,68
38,2038,changedp,68
39,2039,changegreedy,69
39,2039,changedp,69
40,2040,changegreedy,68
40,2040,changedp,68
41,2041,changegreedy,69
41,2041,changedp,69
42,2042,changegreedy,69
42,2042,changedp,69
43,2043,changegreedy,70
43,2043,changedp,70
44,2044,changegreedy,69
44,2044,changedp,69
45,2045,changegreedy,70
45,2045,changedp,70
46,2046,changegreedy,69
46,2046,changedp,69
47,2047,changegreedy,70
47,2047,changedp,70
48,2048,changegreedy,69
48,2048,changedp,69
49,2049,changegreedy,70
49,2049,changedp,70
50,2050,changegreedy,69
50,2050,changedp,69
51,2051,changegreedy,70
51,2051,changedp,70
52,2052,changegreedy,69
52,2052,changedp,69
53,2053,changegreedy,70
53,2053,changedp,70
54,2054,changegreedy,69
54,2054,changedp,69
55,2055,changegreedy,70
55,2055,changedp,70
56,2056,changegreedy,69
56,2056,changedp,69
57,2057,changegreedy,70
57,2057,changedp,70
58,2058,changegreedy,69
58,2058,changedp,69
59,2059,changegreedy,70
59,2059,changedp,70
60,2060,changegreedy,69
60,2060,changedp,69
61,2061,changegreedy,70
61,2061,changedp,70
62,2062,changegreedy,69
62,2062,changedp,69
63,2063,changegreedy,70
63,2063,changedp,70
64,2064,changegreedy,69
64,2064,changedp,69
65,2065,changegreedy,70
65,2065,changedp,70
66,2066,changegreedy,69
66,2066,changedp,69
67,2067,changegreedy,70
67,2067,changedp,70
68,2068,changegreedy,69
68,2068,changedp,69
69,2069,changegreedy,70
69,2069,changedp,70
70,2070,changegreedy,69
70,2070,changedp,69
71,2071,changegreedy,70
71,2071,changedp,70
72,2072,changegreedy,70
72,2072,changedp,70
73,2073,changegreedy,71
73,2073,changedp,71
74,2074,changegreedy,70
74,2074,changedp,70
75,2075,changegreedy,71
75,2075,changedp,71
76,2076,changegreedy,70
76,2076,changedp,70
77,2077,changegreedy,71
77,2077,changedp,71
78,2078,changegreedy,70
78,2078,changedp,70
79,2079,changegreedy,71
79,2079,changedp,71
80,2080,changegreedy,70
80,2080,changedp,70
81,2081,changegreedy,71
81,2081,changedp,71
82,2082,changegreedy,70
82,2082,changedp,70
83,2083,changegreedy,71
83,2083,changedp,71
84,2084,changegreedy,70
84,2084,changedp,70
85,2085,changegreedy,71
85,2085,changedp,71
86,2086,changegreedy,70
86,2086,changedp,70
87,2087,changegreedy,71
87,2087,changedp,71
88,2088,changegreedy,70
88,2088,changedp,70
89,2089,changegreedy,71
89,2089,changedp,71
90,2090,changegreedy,70
90,2090,changedp,70
91,2091,changegreedy,71
91,2091,changedp,71
92,2092,changegreedy,70
92,2092,changedp,70
93,2093,changegreedy,71
93,2093,changedp,71
94,2094,changegreedy,70
94,2094,changedp,70
95,2095,changegreedy,71
95,2095,changedp,71
96,2096,changegreedy,70
96,2096,changedp,70
97,2097,changegreedy,71
97,2097,changedp,71
98,2098,changegreedy,70
98,2098,changedp,70
99,2099,changegreedy,71
99,2099,changedp,71
100,2100,changegreedy,70
100,2100,changedp,70
101,2101,changegreedy,71
101,2101,changedp,71
102,2102,changegreedy,71
102,2102,changedp,71
103,2103,changegreedy,72
103,2103,changedp,72
104,2104,changegreedy,71
104,2104,changedp,71
105,2105,changegreedy,72
105,2105,changedp,72
106,2106,changegreedy,71
106,2106,changedp,71
107,2107,changegreedy,72
107,2107,changedp,72
108,2108,changegreedy,71
108,2108,changedp,71
109,2109,changegreedy,72
109,2109,changedp,72
110,2110,changegreedy,71
110,2110,changedp,71
111,2111,changegreedy,72
111,2111,changedp,72
112,2112,changegreedy,71
112,2112,changedp,71
113,2113,changegreedy,72
113,2113,changedp,72
114,2114,changegreedy,71
114,2114,changedp,71
115,2115,changegreedy,72
115,2115,changedp,72
116,2116,changegreedy,71
116,2116,changedp,71
117,2117,changegreedy,72
117,2117,changedp,72
118,2118,changegreedy,71
118,2118,changedp,71
119,2119,changegreedy,72
119,2119,changedp,72
120,2120,changegreedy,71
120,2120,changedp,71
121,2121,changegreedy,72
121,2121,changedp,72
122,2122,changegreedy,71
122,2122,changedp,71
123,2123,changegreedy,72
123,2123,changedp,72
124,2124,changegreedy,71
124,2124,changedp,71
125,2125,changegreedy,72
125,2125,changedp,72
126,2126,changegreedy,71
126,2126,changedp,71
127,2127,changegreedy,72
127,2127,changedp,72
128,2128,changegreedy,71
128,2128,changedp,71
129,2129,changegreedy,72
129,2129,changedp,72
130,2130,changegreedy,71
130,2130,changedp,71
131,2131,changegreedy,72
131,2131,changedp,72
132,2132,changegreedy,72
132,2132,changedp,72
133,2133,changegreedy,73
133,2133,changedp,73
134,2134,changegreedy,72
134,2134,changedp,72
135,2135,changegreedy,73
135,2135,changedp,73
136,2136,changegreedy,72
136,2136,changedp,72
137,2137,changegreedy,73
137,2137,changedp,73
138,2138,changegreedy,72
138,2138,changedp,72
139,2139,changegreedy,73
