set,size,algorithm,timing
168,2168,changedp,16.633033752441406
169,2169,changegreedy,0.029087066650390625
169,2169,changedp,15.791893005371094
170,2170,changegreedy,0.03600120544433594
170,2170,changedp,18.62502098083496
171,2171,changegreedy,0.015974044799804688
171,2171,changedp,16.096115112304688
172,2172,changegreedy,0.023126602172851562
172,2172,changedp,17.518997192382812
173,2173,changegreedy,0.014781951904296875
173,2173,changedp,16.9830322265625
174,2174,changegreedy,0.02002716064453125
174,2174,changedp,16.23702049255371
175,2175,changegreedy,0.013113021850585938
175,2175,changedp,17.119169235229492
176,2176,changegreedy,0.014066696166992188
176,2176,changedp,16.144990921020508
177,2177,changegreedy,0.014066696166992188
177,2177,changedp,16.448020935058594
178,2178,changegreedy,0.014781951904296875
178,2178,changedp,18.096923828125
179,2179,changegreedy,0.015974044799804688
179,2179,changedp,16.223907470703125
180,2180,changegreedy,0.028133392333984375
180,2180,changedp,18.328189849853516
181,2181,changegreedy,0.0209808349609375
181,2181,changedp,18.789052963256836
182,2182,changegreedy,0.014066696166992188
182,2182,changedp,16.695022583007812
183,2183,changegreedy,0.034809112548828125
183,2183,changedp,16.546010971069336
184,2184,changegreedy,0.013828277587890625
184,2184,changedp,20.49994468688965
185,2185,changegreedy,0.014781951904296875
185,2185,changedp,16.416072845458984
186,2186,changegreedy,0.012874603271484375
186,2186,changedp,23.23603630065918
187,2187,changegreedy,0.015974044799804688
187,2187,changedp,16.921043395996094
188,2188,changegreedy,0.015974044799804688
188,2188,changedp,16.536951065063477
189,2189,changegreedy,0.03409385681152344
189,2189,changedp,16.84713363647461
190,2190,changegreedy,0.014066696166992188
190,2190,changedp,17.09914207458496
191,2191,changegreedy,0.015974044799804688
191,2191,changedp,16.380786895751953
192,2192,changegreedy,0.015020370483398438
192,2192,changedp,19.449949264526367
193,2193,changegreedy,0.018835067749023438
193,2193,changedp,18.838882446289062
194,2194,changegreedy,0.01811981201171875
194,2194,changedp,19.663095474243164
195,2195,changegreedy,0.03600120544433594
195,2195,changedp,16.063928604125977
196,2196,changegreedy,0.01811981201171875
196,2196,changedp,20.455121994018555
197,2197,changegreedy,0.015020370483398438
197,2197,changedp,17.739057540893555
